Município,AIS,Natureza,Data,Hora,Dia da Semana,Meio Empregado,Gênero,Idade da Vítima,Escolaridade da Vítima,Raça da Vítima
Varjota,AIS 16,HOMICIDIO DOLOSO,1/1/2022,00:40:00,Sábado,Arma branca,Masculino,18,Não Informada,Não Informada
Aiuaba,AIS 22,HOMICIDIO DOLOSO,1/1/2022,01:00:00,Sábado,Arma de fogo,Masculino,38,Não Informada,Parda
Maranguape,AIS 24,HOMICIDIO DOLOSO,1/1/2022,01:30:00,Sábado,Arma de fogo,Masculino,20,Ensino Médio Incompleto,Não Informada
Jucás,AIS 21,HOMICIDIO DOLOSO,1/1/2022,02:30:00,Sábado,Arma branca,Masculino,21,Ensino Fundamental Incompleto,Parda
Fortaleza,AIS 02,HOMICIDIO DOLOSO,1/1/2022,04:27:59,Sábado,Arma de fogo,Masculino,23,Ensino Fundamental Completo,Não Informada
Fortaleza,AIS 08,HOMICIDIO DOLOSO,1/1/2022,04:59:59,Sábado,Arma de fogo,Masculino,18,Alfabetizado,Não Informada
Fortaleza,AIS 08,HOMICIDIO DOLOSO,1/1/2022,12:11:00,Sábado,Arma de fogo,Feminino,30,Ensino Fundamental Incompleto,Não Informada
Fortaleza,AIS 03,HOMICIDIO DOLOSO,1/1/2022,13:25:00,Sábado,Arma de fogo,Masculino,Não Informada,Não Informada,Não Informada
Juazeiro do Norte,AIS 19,HOMICIDIO DOLOSO,1/1/2022,13:59:59,Sábado,Arma de fogo,Masculino,35,Alfabetizado,Não Informada
Fortaleza,AIS 08,HOMICIDIO DOLOSO,1/1/2022,14:10:00,Sábado,Arma de fogo,Masculino,26,Alfabetizado,Não Informada
Boa Viagem,AIS 15,HOMICIDIO DOLOSO,1/1/2022,16:59:59,Sábado,Arma branca,Feminino,33,Ensino Fundamental Incompleto,Não Informada
Pacatuba,AIS 24,HOMICIDIO DOLOSO,1/1/2022,17:50:00,Sábado,Arma de fogo,Masculino,22,Ensino Fundamental Completo,Não Informada
Quixeramobim,AIS 20,HOMICIDIO DOLOSO,1/1/2022,17:50:00,Sábado,Arma branca,Masculino,41,Alfabetizado,Não Informada
Fortaleza,AIS 02,HOMICIDIO DOLOSO,1/1/2022,18:40:00,Sábado,Arma de fogo,Masculino,17,Alfabetizado,Não Informada
Reriutaba,AIS 16,HOMICIDIO DOLOSO,1/1/2022,18:49:59,Sábado,Arma branca,Masculino,23,Ensino Médio Completo,Parda
Missão Velha,AIS 19,HOMICIDIO DOLOSO,1/1/2022,19:00:00,Sábado,Arma de fogo,Masculino,17,Não Informada,Parda
Groaíras,AIS 14,HOMICIDIO DOLOSO,1/1/2022,20:15:00,Sábado,Arma de fogo,Masculino,19,Não Informada,Não Informada
Fortaleza,AIS 03,HOMICIDIO DOLOSO,1/1/2022,21:20:59,Sábado,Arma de fogo,Masculino,24,Ensino Médio Completo,Não Informada
Pentecoste,AIS 17,HOMICIDIO DOLOSO,1/1/2022,21:29:59,Sábado,Outros meios,Masculino,21,Ensino Fundamental Incompleto,Parda
Senador Pompeu,AIS 20,HOMICIDIO DOLOSO,1/1/2022,23:30:00,Sábado,Outros meios,Masculino,19,Alfabetizado,Parda
Fortaleza,AIS 07,HOMICIDIO DOLOSO,2/1/2022,02:55:00,Domingo,Arma de fogo,Masculino,22,Alfabetizado,Não Informada
Russas,AIS 18,HOMICIDIO DOLOSO,2/1/2022,06:00:00,Domingo,Arma de fogo,Masculino,20,Ensino Fundamental Incompleto,Não Informada
Fortaleza,AIS 03,HOMICIDIO DOLOSO,2/1/2022,08:19:59,Domingo,Arma de fogo,Masculino,21,Ensino Fundamental Incompleto,Branca
Pacajus,AIS 25,HOMICIDIO DOLOSO,2/1/2022,11:50:00,Domingo,Arma de fogo,Masculino,29,Ensino Fundamental Incompleto,Não Informada
Mulungu,AIS 15,HOMICIDIO DOLOSO,2/1/2022,14:19:59,Domingo,Arma de fogo,Masculino,58,Alfabetizado,Não Informada
Quixadá,AIS 20,HOMICIDIO DOLOSO,2/1/2022,19:00:00,Domingo,Arma de fogo,Feminino,18,Alfabetizado,Não Informada
Jaguaruana,AIS 18,HOMICIDIO DOLOSO,2/1/2022,20:19:59,Domingo,Arma de fogo,Masculino,30,Ensino Fundamental Completo,Parda
Groaíras,AIS 14,FEMINICÍDIO,2/1/2022,21:00:00,Domingo,Outros meios,Feminino,24,Não Informada,Não Informada
Caucaia,AIS 11,HOMICIDIO DOLOSO,3/1/2022,01:59:59,Segunda,Arma de fogo,Masculino,39,Alfabetizado,Branca
Uruburetama,AIS 17,HOMICIDIO DOLOSO,3/1/2022,07:00:00,Segunda,Arma branca,Masculino,29,Alfabetizado,Não Informada
Bela Cruz,AIS 17,HOMICIDIO DOLOSO,3/1/2022,07:59:59,Segunda,Arma de fogo,Masculino,29,Não Informada,Parda
Fortaleza,AIS 09,ROUBO SEGUIDO DE MORTE (LATROCINIO),3/1/2022,10:00:00,Segunda,Arma de fogo,Masculino,62,Alfabetizado,Não Informada
Itapajé,AIS 17,HOMICIDIO DOLOSO,3/1/2022,19:59:59,Segunda,Arma de fogo,Masculino,25,Alfabetizado,Não Informada
Itarema,AIS 17,HOMICIDIO DOLOSO,4/1/2022,05:37:59,Terça,Arma de fogo,Masculino,34,Alfabetizado,Parda
Aracati,AIS 18,HOMICIDIO DOLOSO,4/1/2022,16:30:00,Terça,Arma de fogo,Masculino,32,Alfabetizado,Parda
Maracanaú,AIS 12,LESAO CORPORAL SEGUIDA DE MORTE,4/1/2022,16:59:59,Terça,Outros meios,Masculino,56,Não Informada,Não Informada
Solonópole,AIS 20,HOMICIDIO DOLOSO,4/1/2022,20:15:00,Terça,Arma de fogo,Masculino,24,Alfabetizado,Parda
Campos Sales,AIS 19,HOMICIDIO DOLOSO,5/1/2022,11:30:00,Quarta,Arma de fogo,Masculino,53,Ensino Fundamental Incompleto,Não Informada
Quixeramobim,AIS 20,HOMICIDIO DOLOSO,5/1/2022,19:00:00,Quarta,Outros meios,Masculino,17,Ensino Fundamental Completo,Não Informada
Horizonte,AIS 25,HOMICIDIO DOLOSO,5/1/2022,21:45:00,Quarta,Arma branca,Masculino,55,Alfabetizado,Parda
Caucaia,AIS 11,HOMICIDIO DOLOSO,6/1/2022,03:09:59,Quinta,Arma de fogo,Masculino,30,Alfabetizado,Não Informada
Santana do Acaraú,AIS 14,HOMICIDIO DOLOSO,6/1/2022,06:00:00,Quinta,Arma de fogo,Masculino,44,Ensino Médio Completo,Preta
Quixeré,AIS 18,HOMICIDIO DOLOSO,6/1/2022,07:20:00,Quinta,Arma de fogo,Masculino,35,Ensino Médio Incompleto,Parda
Caucaia,AIS 11,HOMICIDIO DOLOSO,6/1/2022,07:39:59,Quinta,Arma de fogo,Masculino,Não Informada,Não Informada,Não Informada
Juazeiro do Norte,AIS 19,HOMICIDIO DOLOSO,6/1/2022,10:00:00,Quinta,Arma de fogo,Masculino,24,Alfabetizado,Não Informada
Fortaleza,AIS 04,HOMICIDIO DOLOSO,6/1/2022,11:50:00,Quinta,Arma de fogo,Masculino,32,Ensino Médio Completo,Não Informada
Fortaleza,AIS 06,HOMICIDIO DOLOSO,6/1/2022,12:53:00,Quinta,Arma de fogo,Masculino,33,Ensino Fundamental Incompleto,Não Informada
Maracanaú,AIS 12,HOMICIDIO DOLOSO,6/1/2022,15:40:00,Quinta,Arma de fogo,Masculino,15,Alfabetizado,Não Informada
Fortaleza,AIS 02,HOMICIDIO DOLOSO,6/1/2022,17:39:59,Quinta,Arma de fogo,Masculino,59,Alfabetizado,Não Informada
Caucaia,AIS 11,HOMICIDIO DOLOSO,6/1/2022,18:00:00,Quinta,Arma de fogo,Masculino,58,Alfabetizado,Não Informada
Fortaleza,AIS 07,HOMICIDIO DOLOSO,6/1/2022,18:29:59,Quinta,Arma de fogo,Masculino,47,Ensino Fundamental Incompleto,Não Informada
Fortaleza,AIS 03,HOMICIDIO DOLOSO,6/1/2022,19:59:59,Quinta,Arma de fogo,Masculino,41,Ensino Médio Completo,Não Informada
Caucaia,AIS 11,HOMICIDIO DOLOSO,7/1/2022,01:00:00,Sexta,Arma de fogo,Masculino,26,Alfabetizado,Não Informada
Caucaia,AIS 11,ROUBO SEGUIDO DE MORTE (LATROCINIO),7/1/2022,13:09:59,Sexta,Arma de fogo,Feminino,44,Ensino Fundamental Incompleto,Não Informada
Limoeiro do Norte,AIS 18,HOMICIDIO DOLOSO,7/1/2022,19:59:59,Sexta,Arma de fogo,Masculino,39,Alfabetizado,Não Informada
Jaguaribe,AIS 18,HOMICIDIO DOLOSO,7/1/2022,19:59:59,Sexta,Arma de fogo,Masculino,34,Alfabetizado,Não Informada
Fortaleza,AIS 07,HOMICIDIO DOLOSO,8/1/2022,01:14:59,Sábado,Arma de fogo,Masculino,51,Ensino Fundamental Incompleto,Não Informada
São João do Jaguaribe,AIS 18,HOMICIDIO DOLOSO,8/1/2022,13:00:00,Sábado,Arma de fogo,Masculino,38,Alfabetizado,Não Informada
Fortaleza,AIS 06,HOMICIDIO DOLOSO,8/1/2022,16:50:00,Sábado,Arma de fogo,Masculino,38,Alfabetizado,Não Informada
Caucaia,AIS 11,HOMICIDIO DOLOSO,8/1/2022,19:27:59,Sábado,Arma de fogo,Masculino,41,Superior Incompleto,Não Informada
Caucaia,AIS 11,HOMICIDIO DOLOSO,8/1/2022,19:39:59,Sábado,Arma de fogo,Masculino,17,Ensino Médio Completo,Não Informada
Sobral,AIS 14,HOMICIDIO DOLOSO,8/1/2022,19:59:59,Sábado,Arma de fogo,Masculino,38,Alfabetizado,Não Informada
Amontada,AIS 17,HOMICIDIO DOLOSO,8/1/2022,20:30:00,Sábado,Arma de fogo,Masculino,29,Ensino Médio Completo,Parda
Iracema,AIS 18,HOMICIDIO DOLOSO,8/1/2022,20:39:59,Sábado,Arma de fogo,Masculino,28,Não Informada,Não Informada
Fortaleza,AIS 06,HOMICIDIO DOLOSO,8/1/2022,22:59:59,Sábado,Arma branca,Masculino,Não Informada,Não Informada,Não Informada
Horizonte,AIS 25,HOMICIDIO DOLOSO,9/1/2022,01:30:00,Domingo,Arma de fogo,Masculino,20,Ensino Fundamental Completo,Parda
Umirim,AIS 17,HOMICIDIO DOLOSO,9/1/2022,07:30:00,Domingo,Arma de fogo,Masculino,21,Alfabetizado,Não Informada
Fortaleza,AIS 06,HOMICIDIO DOLOSO,9/1/2022,10:32:00,Domingo,Arma de fogo,Feminino,34,Alfabetizado,Não Informada
Tianguá,AIS 14,HOMICIDIO DOLOSO,9/1/2022,10:59:59,Domingo,Arma de fogo,Masculino,29,Ensino Fundamental Completo,Parda
General Sampaio,AIS 17,HOMICIDIO DOLOSO,9/1/2022,12:29:59,Domingo,Arma de fogo,Masculino,19,Alfabetizado,Não Informada
Maracanaú,AIS 12,HOMICIDIO DOLOSO,9/1/2022,13:43:59,Domingo,Outros meios,Feminino,50,Alfabetizado,Não Informada
Fortaleza,AIS 07,FEMINICÍDIO,9/1/2022,13:59:59,Domingo,Arma de fogo,Feminino,16,Não Informada,Não Informada
Caucaia,AIS 11,HOMICIDIO DOLOSO,9/1/2022,20:30:00,Domingo,Arma de fogo,Masculino,43,Alfabetizado,Não Informada
Fortaleza,AIS 06,HOMICIDIO DOLOSO,10/1/2022,00:13:00,Segunda,Arma de fogo,Masculino,21,Ensino Fundamental Incompleto,Não Informada
Pedra Branca,AIS 20,HOMICIDIO DOLOSO,10/1/2022,01:30:00,Segunda,Arma branca,Masculino,29,Não Informada,Parda
Fortaleza,AIS 05,HOMICIDIO DOLOSO,10/1/2022,02:55:00,Segunda,Arma de fogo,Masculino,35,Alfabetizado,Não Informada
Jaguaribe,AIS 18,HOMICIDIO DOLOSO,10/1/2022,03:00:00,Segunda,Arma de fogo,Masculino,31,Ensino Fundamental Incompleto,Parda
São Gonçalo do Amarante,AIS 23,HOMICIDIO DOLOSO,10/1/2022,07:00:00,Segunda,Arma de fogo,Masculino,41,Alfabetizado,Branca
Araripe,AIS 19,HOMICIDIO DOLOSO,10/1/2022,07:14:59,Segunda,Arma de fogo,Masculino,65,Ensino Médio Completo,Não Informada
Pentecoste,AIS 17,HOMICIDIO DOLOSO,10/1/2022,07:30:00,Segunda,Arma de fogo,Masculino,31,Alfabetizado,Não Informada
Aracati,AIS 18,HOMICIDIO DOLOSO,10/1/2022,14:30:00,Segunda,Arma de fogo,Masculino,28,Ensino Fundamental Completo,Parda
