Município [-],Código [-],Gentílico [-],Prefeito [2025],Área Territorial - km² [2024],População no último censo - pessoas [2022],Densidade demográfica - hab/km² [2022],População estimada - pessoas [2025],Escolarização 6 a 14 anos % [2022],IDHM Índice de desenvolvimento humano municipal [2010],Mortalidade infantil - óbitos por mil nascidos vivos [2023],Total de receitas brutas realizadas - R$ [2024],Total de despesas brutas empenhadas - R$ [2024],PIB per capita - R$ [2021]
Abaiara,2300101,abaiarense,ANGELO FURTADO SAMPAIO,"180,833",10038,"55,51",10269,"99,69","0,628",-,"62478227,64","55577854,04","9859,67"
Acarape,2300150,acarapense,FRANCISCO EDILBERTO BESERRA BARROSO,"129,767",14027,"107,9",14340,"97,64","0,606",-,"99314234,62","93260342,18","11888,66"
Acaraú,2300200,acarauense,ANA FLÁVIA RIBEIRO MONTEIRO,"842,47",65264,"77,47",69317,"99,45","0,601","7,79","355004235,11","342565319,59","16051,99"
Acopiara,2300309,acopiarense,FRANCISCO VILMAR FELIX MARTINS,"2254,279",44962,"19,95",45937,"99,45","0,595","4,42","232541466,38","226807403,04","10322,74"
Aiuaba,2300408,aiuabense,JOSE MORAES FEITOSA,"2438,563",14076,"5,77",14115,"98,87","0,569","8,2","89022174,43","85657480,56","8621,26"
Alcântaras,2300507,alcantarense,CHARLYNE CUNHA FREIRE,"135,76",11369,"83,74",11795,"99,2","0,6","7,35","72303139,55","66388820,36","8289,87"
Altaneira,2300606,altaneirense,ANA KESIA DE ALCANTARA SOARES,"72,675",6782,"93,32",6974,100,"0,602",-,"64909084,28","59104373,8","9680,24"
Alto Santo,2300705,alto-santense,JOSE JOENI HOLANDA DE ARAUJO,"1147,209",14155,"12,34",14372,"99,33","0,601","22,22","117967121,13","105026220,56","14447,21"
Amontada,2300754,amontadense,FLAVIO CESAR BRUNO TEIXEIRA FILHO,"1175,044",42156,"35,88",44584,"96,15","0,606","14,68","264171731,65","261669262,02","15057,63"
Antonina do Norte,2300804,antonino ou antoninense,ANTONIO ROSENO FILHO,"259,706",7245,"27,9",7507,"99,08","0,599",-,"71957850,92","54856225,86","10666,5"
Apuiarés,2300903,apuiareense,ANARACY PINTO PINHO RUFINO,"543,98",12928,"23,77",13193,"98,27","0,618","7,52","67013163,94",61384524,"8206,35"
Aquiraz,2301000,aquirazense,BRUNO BARROS GONÇALVES,"480,236",80645,"167,93",85316,"98,61","0,641","10,25","581551396,67","536724359,23","47245,19"
Aracati,2301109,aracatiense,ROBERTA CARDOSO BARBOSA DE ALMEIDA,"1227,196",75113,"61,21",79205,"98,76","0,655","8,54","433813399,98","423531175,59","22637,56"
Aracoiaba,2301208,aracoiabense,WELLINGTON SILVA DE OLIVEIRA,"643,988",25553,"39,68",26752,"99,22","0,615","6,58","201668938,36","198928176,2","10015,85"
Ararendá,2301257,ararendaense,ARISTEU ALVES EDUARDO,"342,301",11096,"32,42",11532,"98,31","0,59","5,92","92371456,17","79727948,09","9722,66"
Araripe,2301307,araripense,JOSE PAULINO PEREIRA,"1097,345",19783,"18,03",20194,"98,26","0,564","12,7","132110986,82","125179766,78","9581,32"
Aratuba,2301406,aratubano,JOERLY RODRIGUES VICTOR,"119,758",11224,"93,72",11427,"98,77","0,622","17,24","88972146,02","84694626,78","12896,07"
Arneiroz,2301505,arneirozense,ANTONIO MONTEIRO PEDROSA FILHO,"1068,437",7429,"6,95",7615,"99,45","0,618",-,"52846322,85","50368622,41","8947,96"
Assaré,2301604,assareense,JOSÉ LIBÓRIO LEITE NETO,"1155,124",21697,"18,78",22195,"99,55","0,6",-,"139608592,1","135761219,1","10080,26"
Aurora,2301703,aurorense,MARCONE TAVARES DE LUNA,"885,87",23714,"26,77",24244,"99,23","0,605","8,16","109259023,61","96558526,73","8824,53"
Baixio,2301802,baixiense,LUCIO ALVES BARROSO,"145,556",5704,"39,19",5821,"98,68","0,627",-,"49071040,22",43367190,"10690,19"
Banabuiú,2301851,banabuiense,FRANCISCO MARCÍLIO COELHO BRITO,"1080,986",17195,"15,91",17667,"93,94","0,606","19,23","116361300,21","110520619,47","14199,25"
Barbalha,2301901,barbalhense,GUILHERME SAMPAIO SARAIVA,"608,142",75033,"123,38",81441,"98,91","0,683","4,73","508111481,22","503635809,16","21815,78"
Barreira,2301950,barreirense,MARCIO GLEY NASCIMENTO SILVA,"260,237",22392,"86,12",23474,"97,88","0,616","7,19","123399811,89","113365372,99","10566,4"
Barro,2302008,barrense,HERICLES GEORGE FEITOSA ALBUQUERQUE,"711,346",19381,"27,25",19569,"99,14","0,599","10,36","98360447,51","90894348,19","10599,42"
Barroquinha,2302057,barroquinhense,JAIME VERAS SILVA FILHO,"385,59",14567,"37,78",14998,"96,06","0,571","9,22","95743007,37","89955084,65","8848,31"
Baturité,2302107,baturiteense,HÉRBERLH FREITAS REIS CAVALCANTE MOTA,"314,075",35218,"112,13",37147,"99,01","0,619","13,36","213208106,72","202443754,24","12408,24"
Beberibe,2302206,beberibense,MICHELE CARIELLO DE SÁ QUEIROZ ROCHA,"1596,75",53114,"33,26",55977,"98,77","0,638","10,22","300463069,33","281949678,81","19497,48"
Bela Cruz,2302305,bela-cruzense,JOSE OTACILIO DE MORAIS NETO,"842,106",32775,"38,92",34613,"99,14","0,623","26,39","144849524,71","135223126,26","9809,26"
Boa Viagem,2302404,boa-viagense,JOSE CARNEIRO DANTAS FILHO,"2835,037",50411,"17,78",52133,"99,03","0,598","10,27","314333016,43","316304314,79","9861,34"
Brejo Santo,2302503,brejo-santense,MARIA GISLAINE SANTANA SAMPAIO LANDIM,"654,658",51090,"78,04",54192,"99,16","0,647","9,75","345743256,09","350790529,47","16277,2"
Camocim,2302602,camocimense,MARIA ELIZABETE MAGALHÃES,"1120,449",62326,"55,63",65251,"98,31","0,62","10,3","311416534,42","292044739,18","13087,13"
Campos Sales,2302701,campos-salense,MOESIO LOIOLA DE MELO,"1082,582",25135,"23,22",26049,"99,71","0,63","8,85","123978888,6","117773997,13","10626,15"
Canindé,2302800,canindeense,FRANCISCO JARDEL SOUSA PINHO,"3032,39",74174,"24,46",77376,"99,23","0,612","12,57","429499061,58","417814978,9","11761,86"
Capistrano,2302909,capistranense,CLAUDIO BEZERRA SARAIVA,"226,549",17254,"76,16",17795,"99,54","0,611","10,05","98900392,91","99280575,91","9916,38"
